entry_time,exit_time,symbol,range_pos,whale_size,whale_ratio,entry_price,exit_price,peak_price,pnl_pct,hold_min,reason
2026-07-21T04:40:03.305772+09:00,2026-07-21T04:53:44.980515+09:00,CAMP,0.21,5613977,48.2,0.8078,0.7832,0.81,-3.05,14,손절-3.0%
2026-07-20T22:02:08.066984+09:00,2026-07-21T05:13:40.836077+09:00,PYTH,0.09,3560410,35.3,70.54,68.42,71.12,-3.01,432,손절-3.0%
2026-07-20T14:13:25.676995+09:00,2026-07-21T05:48:39.693738+09:00,THE,0.11,12156450,106.5,75,81.18,85.21,+8.24,935,트레일(고점+13.6%)
2026-07-20T06:18:47.729678+09:00,2026-07-21T06:19:01.820703+09:00,ETH,0.12,564433043,11288.7,2.744e+06,2.785e+06,2.799e+06,+1.49,1440,타임아웃24h
2026-07-20T06:18:47.759116+09:00,2026-07-21T06:19:01.837923+09:00,XRP,0.12,17428884,670.4,1613,1631,1635,+1.12,1440,타임아웃24h
2026-07-20T06:18:47.829638+09:00,2026-07-21T06:19:01.854959+09:00,MON,0.19,5625811,123.1,30.77,33.98,33.98,+10.43,1440,타임아웃24h
2026-07-20T06:18:47.955449+09:00,2026-07-21T06:19:01.903538+09:00,EDGEX,0.21,4111272,8.5,596,605,621,+1.51,1440,타임아웃24h
2026-07-20T06:18:47.997723+09:00,2026-07-21T06:19:01.934238+09:00,DOGE,0.00,3000000,15.0,106,106,108,+0.00,1440,타임아웃24h
2026-07-20T06:18:48.036542+09:00,2026-07-21T06:19:01.956435+09:00,HBAR,0.00,16038233,21.4,97.91,97.2,98.4,-0.73,1440,타임아웃24h
2026-07-20T06:18:48.148087+09:00,2026-07-21T06:19:01.982447+09:00,AI,0.09,3993154,46.0,34.16,34.3,34.78,+0.41,1440,타임아웃24h
2026-07-20T06:18:48.199704+09:00,2026-07-21T06:19:02.002764+09:00,ENSO,0.03,5379742,19.2,1026,1079,1096,+5.17,1440,타임아웃24h
2026-07-20T06:18:48.239871+09:00,2026-07-21T06:19:02.025988+09:00,MAV,0.00,4413659,87.9,12.72,12.73,12.85,+0.08,1440,타임아웃24h
2026-07-20T06:18:48.274544+09:00,2026-07-21T06:19:02.044297+09:00,EDEN,0.10,3091799,41.4,63.5,62.58,64,-1.45,1440,타임아웃24h
2026-07-20T06:18:48.314364+09:00,2026-07-21T06:19:02.066784+09:00,SENT,0.20,3191049,10.4,19.67,20.04,20.16,+1.88,1440,타임아웃24h
2026-07-20T06:18:48.345652+09:00,2026-07-21T06:19:02.087963+09:00,RVN,0.22,5313822,64.8,5.532,5.56,5.6,+0.51,1440,타임아웃24h
2026-07-20T06:18:48.419498+09:00,2026-07-21T06:19:02.106116+09:00,BICO,0.20,4190828,49.5,19.2,19.75,20.13,+2.86,1440,타임아웃24h
2026-07-20T06:27:23.699158+09:00,2026-07-21T06:27:23.762111+09:00,SOL,0.21,12725414,127.6,111800,113800,114400,+1.79,1440,타임아웃24h
2026-07-20T15:16:55.315974+09:00,2026-07-21T06:29:17.209859+09:00,PARTI,0.00,3060096,17.1,41.56,42.56,44.73,+2.41,912,트레일(고점+7.6%)
2026-07-21T01:59:02.410500+09:00,2026-07-21T06:32:39.275203+09:00,PUMP,0.26,3804091,10.7,2.896,2.896,3.041,+0.00,274,트레일(고점+5.0%)
