pump_id,coin,entry_ts,entry_price,exit_ts,exit_price,exit_reason,hold_sec,pnl_pct,slippage
452,WNCG,1779613982.0,16.15035,1779614022.0,15.6414,손절,40,-0.036513248938877405,0.005
454,SIX,1779635046.0,15.38655,1779635076.0,14.6464,손절,30,-0.053103700959604316,0.005
455,SIX,1779635065.0,14.924249999999999,1779635186.0,14.27825,손절,121,-0.04828525721560541,0.005
457,RESOLV,1779634995.0,41.727599999999995,1779635015.0,39.8,손절,20,-0.05119484465917039,0.005
458,RESOLV,1779634996.0,41.707499999999996,1779635016.0,39.7801,손절,20,-0.05121231193430435,0.005
460,RSS3,1779636609.0,14.069999999999999,1779637087.0,13.92005,시간초과,478,-0.015657427149964372,0.005
477,C98,1779694485.0,30.029399999999995,1779694585.0,29.820149999999998,시간초과,100,-0.011968171192231522,0.005
478,C98,1779694416.0,30.32085,1779694591.0,30.0291,시간초과,175,-0.0146220917289588,0.005
479,C98,1779694398.0,30.280649999999994,1779694589.0,30.09875,시간초과,191,-0.011007136570714147,0.005
363,SD,1779206450.0,265.63,1779206521.0,258.39,시간초과,71,-0.03225595753491702,0.01
365,EDEN,1779213772.0,125.24,1779213794.0,124.74,시간초과,22,-0.008992334717342702,0.01
367,PROMPT,1779225048.0,61.276700000000005,1779225099.0,58.8654,손절,51,-0.044351009437518726,0.01
369,PROVE,1779235792.0,348.45,1779235839.0,334.62,손절,47,-0.044690055962117906,0.01
370,SD,1779242897.0,253.51,1779242926.0,250.47,시간초과,29,-0.016991637410752998,0.01
374,PONKE,1779254376.0,62.892700000000005,1779254406.0,59.8851,손절,30,-0.052821130274260816,0.01
380,EDEN,1779304361.0,171.7,1779304700.0,163.35,손절,339,-0.05363133372160742,0.01
382,AVL,1779361427.0,52.631099999999996,1779361966.0,51.6384,시간초과,539,-0.023861471639391906,0.01
384,YB,1779370339.0,179.78,1779370379.0,178.2,시간초과,40,-0.013788519301368408,0.01
387,OXT,1779377148.0,17.523500000000002,1779377265.0,17.0676,시간초과,117,-0.031016492139127643,0.01
388,AGI,1779378941.0,12.493699999999999,1779379041.0,11.9592,손절,100,-0.047781561907201196,0.01
390,AVL,1779380113.0,58.5194,1779380545.0,57.64769999999999,시간초과,432,-0.019895914859004094,0.01
392,PONKE,1779381726.0,56.4994,1779381766.0,57.5685,익절,40,0.013922324838847824,0.01
398,BOB,1779437546.0,14.352100000000002,1779437586.0,14.1867,시간초과,40,-0.016524445899903272,0.01
399,XTER,1779437787.0,27.9164,1779437855.0,27.8982,시간초과,68,-0.005651946526056376,0.01
405,SUNDOG,1779464022.0,11.312,1779464022.0,11.088,시간초과,0,-0.02480198019801982,0.01
406,SYRUP,1779464392.0,527.22,1779464413.0,417.78,손절,21,-0.21257937862751802,0.01
407,MAY,1779464443.0,9.292,1779465006.0,9.07038,시간초과,563,-0.028850624192854037,0.01
408,YFI,1779464503.0,3782450.0,1779465045.0,3653100.0,시간초과,542,-0.03919741173049214,0.01
409,GNO,1779464694.0,181295.0,1779464865.0,172260.0,손절,171,-0.05483590281033674,0.01
410,ALLO,1779464991.0,148.47,1779465435.0,147.51,시간초과,444,-0.011465952717720804,0.01
411,SUNDOG,1779465348.0,11.837200000000001,1779465459.0,11.4246,손절,111,-0.03985621599702642,0.01
414,GMT,1779516257.0,17.9477,1779516297.0,16.691399999999998,손절,40,-0.07499782701961828,0.01
415,PUFFER,1779522624.0,39.1173,1779522643.0,36.0954,손절,19,-0.082252264343398,0.01
420,GRACY,1779547614.0,14.645,1779547915.0,14.3352,시간초과,301,-0.026153977466712136,0.01
421,BOB,1779549178.0,14.0794,1779549198.0,13.8699,시간초과,20,-0.01987989545009022,0.01
423,BOB,1779549178.0,14.0794,1779549550.0,14.0778,시간초과,372,-0.005113641206301392,0.01
426,RESOLV,1779550223.0,59.4789,1779550304.0,55.2618,손절,81,-0.07590077321537557,0.01
427,PEAQ,1779550344.0,47.985099999999996,1779550735.0,50.5395,익절,391,0.04823319113641529,0.01
428,ID,1779550354.0,48.1568,1779550394.0,46.0449,손절,40,-0.04885465811681836,0.01
430,GHX,1779551289.0,12.604800000000001,1779551680.0,12.493799999999998,시간초과,391,-0.0138061690784465,0.01
436,GHX,1779590309.0,14.4632,1779590369.0,13.7808,손절,60,-0.05218181315338246,0.01
437,SWAP,1779591330.0,84.84,1779591640.0,81.17009999999999,손절,310,-0.0482567185289959,0.01
438,GHX,1779591862.0,14.8773,1779592141.0,14.661900000000001,시간초과,279,-0.01947843358673946,0.01
439,STAT,1779593515.0,59.8425,1779593545.0,57.4002,손절,30,-0.045812131846096046,0.01
442,STAT,1779597861.0,62.9331,1779597901.0,60.2019,손절,40,-0.04839846599007519,0.01
443,GHX,1779598774.0,15.3318,1779598856.0,14.9292,시간초과,82,-0.0312591476538958,0.01
445,GHX,1779600389.0,15.4934,1779600401.0,15.0876,시간초과,12,-0.031191797797771908,0.01
447,STAT,1779602435.0,71.41709999999999,1779602466.0,63.924299999999995,손절,31,-0.10991604951755247,0.01
448,STAT,1779604539.0,75.67930000000001,1779604740.0,74.8341,시간초과,201,-0.016168179409693343,0.01
452,WNCG,1779613982.0,16.2307,1779614022.0,15.562800000000001,손절,40,-0.046150412489910954,0.01
454,SIX,1779635046.0,15.4631,1779635076.0,14.5728,손절,30,-0.06257577717275319,0.01
455,SIX,1779635065.0,14.9985,1779635186.0,14.2065,손절,121,-0.05780528052805279,0.01
457,RESOLV,1779634995.0,41.9352,1779635015.0,39.6,손절,20,-0.06068591541235049,0.01
458,RESOLV,1779634996.0,41.915,1779635016.0,39.5802,손절,20,-0.06070320887510441,0.01
460,RSS3,1779636609.0,14.14,1779637087.0,13.8501,시간초과,478,-0.025502121640735585,0.01
477,C98,1779694485.0,30.1788,1779694585.0,29.670299999999997,시간초과,100,-0.021849576523917502,0.01
478,C98,1779694416.0,30.471700000000002,1779694591.0,29.8782,시간초과,175,-0.024477088577270135,0.01
479,C98,1779694398.0,30.4313,1779694589.0,29.947499999999998,시간초과,191,-0.020898104911719256,0.01
363,SD,1779206450.0,268.26,1779206511.0,255.78,손절,61,-0.05152203086557813,0.02
365,EDEN,1779213772.0,126.48,1779213794.0,123.48,시간초과,22,-0.028719165085388996,0.02
367,PROMPT,1779225048.0,61.8834,1779225099.0,58.2708,손절,51,-0.0633775293535908,0.02
369,PROVE,1779235792.0,351.90000000000003,1779235825.0,331.24,손절,33,-0.06370986075589663,0.02
370,SD,1779242897.0,256.02,1779242926.0,247.94,시간초과,29,-0.0365600343723146,0.02
374,PONKE,1779254376.0,63.51540000000001,1779254406.0,59.2802,손절,30,-0.07167989180576688,0.02
380,EDEN,1779304361.0,173.4,1779304642.0,163.66,손절,281,-0.061170703575547915,0.02
