exit_time,coin,lead,entry,exit,pnl_pct,reason,strong
2026-07-01 03:49:08,IN,2.08,200.0000,203.0000,+1.50,트레일(고점+2.5%),False
2026-07-01 03:54:13,TOKAMAK,2.04,565.0000,566.0000,+0.18,타임아웃15분,False
2026-07-01 03:55:59,IN,2.56,202.0000,196.0000,-2.97,손절-1.5%,False
2026-07-01 03:58:58,EDGE,1.77,114.0000,115.0000,+0.88,타임아웃15분,False
2026-07-01 03:59:27,TAIKO,2.58,137.0000,136.0000,-0.73,타임아웃15분,False
2026-07-01 04:00:51,IN,2.08,192.0000,192.0000,+0.00,트레일(고점+2.1%),False
2026-07-01 04:03:22,AI,1.89,48.0900,48.5200,+0.89,트레일(고점+2.1%),False
2026-07-01 04:03:37,EDGE,1.79,115.0000,113.0000,-1.74,손절-1.5%,False
2026-07-01 04:09:27,IN,1.54,196.0000,195.0000,-0.51,트레일(고점+1.0%),False
2026-07-01 04:11:28,IN,1.55,197.0000,198.0000,+0.51,트레일(고점+1.5%),False
2026-07-01 04:13:31,IN,2.60,196.0000,196.0000,+0.00,트레일(고점+1.0%),False
2026-07-01 04:17:40,EDGE,1.79,114.0000,112.0000,-1.75,손절-1.5%,False
2026-07-01 04:18:19,IN,3.28,188.0000,189.0000,+0.53,트레일(고점+2.1%),True
2026-07-01 04:21:22,TAIKO,1.89,137.0000,140.0000,+2.19,트레일(고점+3.6%),False
2026-07-01 04:21:26,IN,2.21,188.0000,190.0000,+1.06,트레일(고점+2.1%),False
2026-07-01 04:21:59,IN,2.18,190.0000,187.0000,-1.58,손절-1.5%,False
2026-07-01 04:22:50,AI,1.66,50.9300,51.8600,+1.83,트레일(고점+2.8%),False
2026-07-01 04:23:59,IN,3.27,188.0000,185.0000,-1.60,손절-1.5%,True
2026-07-01 04:25:01,TAIKO,3.31,140.0000,140.0000,+0.00,트레일(고점+1.4%),True
2026-07-01 04:36:38,ENA,1.83,109.0000,108.0000,-0.92,타임아웃15분,False
2026-07-01 04:36:57,IN,2.23,177.0000,180.0000,+1.69,트레일(고점+2.8%),False
2026-07-01 04:42:58,IN,6.03,155.0000,156.0000,+0.65,트레일(고점+2.6%),True
2026-07-01 04:44:24,MOC,2.23,25.6200,25.4900,-0.51,타임아웃15분,False
2026-07-01 04:46:33,IN,3.03,153.0000,155.0000,+1.31,트레일(고점+19.6%),True
2026-07-01 04:47:08,IN,16.49,156.0000,156.0000,+0.00,트레일(고점+1.9%),True
