entry_time,exit_time,symbol,kind,entry_price,exit_price,qv_ratio,r12_pct,price_pnl_pct,funding_pct,fee_pct,net_pnl_pct,hold_h,reason,btc_entry,btc_exit,signal_delay_s
2026-08-27T14:20:48.488254+09:00,2026-08-28T14:21:11.147832+09:00,TUTUSDT,signal,0.05507,0.04867,0.821,5.843,-11.622,0.0428,0.12,-11.784,24.04,24h만기,78610.8,79593.9,0
2026-08-27T14:20:48.834302+09:00,2026-08-28T14:21:11.621629+09:00,NEWTUSDT,random,0.04115,0.04116,,,0.024,0.03,0.12,-0.126,24.04,24h만기,78610.8,79593.9,0
2026-08-27T15:25:56.990895+09:00,2026-08-28T15:27:25.934445+09:00,BLESSUSDT,signal,0.010853,0.010562,0.5042,6.111,-2.681,0.0649,0.12,-2.866,24.03,24h만기,78670.0,79810.0,0
2026-08-27T15:25:57.302829+09:00,2026-08-28T15:27:26.424865+09:00,AEVOUSDT,random,0.02294,0.02268,,,-1.133,0.03,0.12,-1.283,24.03,24h만기,78670.0,79810.0,0
2026-08-27T15:56:05.872679+09:00,2026-08-28T15:58:04.750973+09:00,HEMIUSDT,signal,0.008286,0.012058,0.8865,6.258,45.523,0.03,0.12,45.373,24.05,24h만기,78784.3,79900.0,0
2026-08-27T15:56:06.139396+09:00,2026-08-28T15:58:05.353038+09:00,SYNUSDT,random,0.11,0.109,,,-0.909,0.03,0.12,-1.059,24.05,24h만기,78784.3,79900.0,0
2026-08-27T15:57:30.192639+09:00,2026-08-28T15:58:05.952602+09:00,龙虾USDT,signal,0.032052,0.042823,0.7356,5.563,33.605,0.1405,0.12,33.344,24.05,24h만기,78784.3,79900.0,0
2026-08-27T15:57:30.469416+09:00,2026-08-28T15:58:06.541085+09:00,ALLUSDT,random,0.5525,0.5556,,,0.561,-0.0991,0.12,0.54,24.05,24h만기,78784.3,79900.0,0
2026-08-28T11:10:35.917751+09:00,2026-08-29T11:14:03.352707+09:00,ENAUSDT,signal,0.18741,0.1595,0.4355,7.245,-14.892,0.0026,0.12,-15.015,24.07,24h만기,80377.9,77746.0,0
2026-08-28T11:10:36.214115+09:00,2026-08-29T11:14:03.909960+09:00,XAUTUSDT,random,4569.56,4456.78,,,-2.468,0.0092,0.12,-2.597,24.07,24h만기,80377.9,77746.0,0
2026-08-28T11:25:57.016378+09:00,2026-08-29T11:25:17.934023+09:00,MOVRUSDT,signal,1.0331,0.7751,0.8581,7.761,-24.973,0.0103,0.12,-25.104,24.01,24h만기,80014.7,77555.0,0
2026-08-28T11:25:57.244133+09:00,2026-08-29T11:25:18.826768+09:00,ARCUSDT,random,0.067,0.06952,,,3.761,0.1294,0.12,3.512,24.01,24h만기,80014.7,77555.0,0
2026-08-28T12:41:11.322322+09:00,2026-08-29T12:45:09.491335+09:00,AKEUSDT,signal,0.00746,0.011418,0.9405,9.577,53.056,0.0732,0.12,52.863,24.07,24h만기,79832.9,77591.7,0
2026-08-28T12:41:11.610775+09:00,2026-08-29T12:45:10.589781+09:00,BARDUSDT,random,0.1195,0.119,,,-0.418,0.0295,0.12,-0.568,24.07,24h만기,79832.9,77591.7,0
2026-08-28T13:01:44.832244+09:00,2026-08-29T13:03:28.291712+09:00,BTRUSDT,signal,0.15964,0.1692,0.1782,6.052,5.988,0.3364,0.12,5.532,24.04,24h만기,79800.0,77545.7,0
2026-08-28T13:01:45.120835+09:00,2026-08-29T13:03:29.322929+09:00,ONUSDT,random,0.2505,0.2584,,,3.154,0.0893,0.12,2.944,24.04,24h만기,79800.0,77545.7,0
2026-08-28T13:25:42.528532+09:00,2026-08-29T13:31:35.961592+09:00,ARIAUSDT,signal,0.03617,0.03447,0.5775,6.791,-4.7,0.03,0.12,-4.85,24.1,24h만기,79830.8,77597.0,0
2026-08-28T13:25:42.755035+09:00,2026-08-29T13:31:37.054325+09:00,JCTUSDT,random,0.002023,0.001804,,,-10.826,0.1459,0.12,-11.091,24.1,24h만기,79830.8,77597.0,0
2026-08-28T13:36:07.993708+09:00,2026-08-29T13:41:03.989931+09:00,BMTUSDT,signal,0.02524,0.02218,0.4071,8.887,-12.124,-0.1363,0.12,-12.107,24.09,24h만기,79672.2,77596.2,0
2026-08-28T13:36:08.278079+09:00,2026-08-29T13:41:05.071351+09:00,LUNA2USDT,random,0.04617,0.04532,,,-1.841,0.0372,0.12,-1.998,24.09,24h만기,79672.2,77596.2,0
2026-08-28T14:22:21.627776+09:00,2026-08-29T14:25:31.679542+09:00,MAGMAUSDT,signal,0.37275,0.50777,0.6557,6.197,36.223,0.2064,0.12,35.896,24.07,24h만기,79593.9,77642.1,0
2026-08-28T14:22:21.852698+09:00,2026-08-29T14:25:32.709838+09:00,NOMUSDT,random,0.001586,0.001598,,,0.757,0.0864,0.12,0.55,24.07,24h만기,79593.9,77642.1,0
