entry_time,exit_time,symbol,rsi,vol_mult,chg24,entry_price,exit_price,pnl_pct,mfe_pct,mae_pct,reason
2026-08-19T11:51:04.696241+09:00,2026-08-19T19:52:00.025644+09:00,SOMIUSDT,92.7,11.2,9.5,0.0962,0.0904,5.79,6.34,0.0,8h만기
2026-08-19T21:24:54.594630+09:00,2026-08-20T05:26:09.596030+09:00,RUNEUSDT,98.1,4.1,2.7,0.426,0.423,0.46,2.35,-4.23,8h만기
2026-08-20T00:08:25.361039+09:00,2026-08-20T08:08:34.457765+09:00,1INCHUSDT,95.3,11.1,3.4,0.0859,0.0865,-0.94,1.05,-2.33,8h만기
2026-08-20T00:08:48.858988+09:00,2026-08-20T08:08:34.460244+09:00,CHZUSDT,93.4,5.2,5.1,0.01251,0.01284,-2.88,1.12,-4.16,8h만기
2026-08-20T00:29:04.774194+09:00,2026-08-20T08:30:29.489248+09:00,APEUSDT,93.5,11.7,1.9,0.1266,0.1275,-0.95,1.5,-2.13,8h만기
2026-08-20T00:29:11.720997+09:00,2026-08-20T08:30:29.494936+09:00,BANANAUSDT,92.7,7.5,5.6,3.773,3.828,-1.7,0.64,-3.71,8h만기
2026-08-20T00:29:12.251792+09:00,2026-08-20T08:30:29.497805+09:00,BANANAS31USDT,94.6,9.5,3.0,0.008726,0.008759,-0.62,0.71,-1.81,8h만기
2026-08-20T00:29:14.831362+09:00,2026-08-20T08:30:29.501036+09:00,BEAMXUSDT,94.8,21.3,5.8,0.001373,0.001384,-1.04,2.04,-2.91,8h만기
2026-08-20T00:29:18.833695+09:00,2026-08-20T08:30:29.503795+09:00,BTCUSDT,95.2,10.0,6.0,68374.41,69370.02,-1.7,0.53,-2.38,8h만기
2026-08-20T00:29:31.120932+09:00,2026-08-20T08:30:29.506718+09:00,ENAUSDT,94.0,12.6,5.1,0.0891,0.0946,-6.41,1.68,-6.51,8h만기
2026-08-20T00:29:43.565271+09:00,2026-08-20T08:30:29.509537+09:00,ICPUSDT,92.0,4.5,2.5,2.272,2.31,-1.91,2.07,-2.16,8h만기
2026-08-20T00:29:51.612885+09:00,2026-08-20T08:30:29.512205+09:00,LDOUSDT,95.0,8.1,8.2,0.3274,0.3274,-0.24,3.33,-3.85,8h만기
2026-08-20T00:44:22.321248+09:00,2026-08-20T08:44:22.299675+09:00,ZAMAUSDT,96.0,3.4,5.3,0.04522,0.0466,-3.29,2.06,-3.96,8h만기
