exit_time,coin,entry,exit,pnl_pct,reason,held_min
2026-07-26 07:56:34,LWP,5.1450,4.8910,-4.94,SL-3.0%,1
2026-07-26 08:03:45,LWP,5.1400,5.3200,+3.50,TP+3.0%,1
2026-07-26 08:09:55,LWP,5.2580,4.9700,-5.48,SL-3.0%,5
2026-07-26 08:10:57,LWP,4.9700,5.3140,+6.92,TP+3.0%,1
2026-07-26 08:11:59,LWP,5.3140,5.1000,-4.03,SL-3.0%,1
2026-07-26 08:15:03,LWP,5.2110,4.5930,-11.86,SL-3.0%,2
2026-07-26 08:22:14,LWP,4.3970,4.5360,+3.16,TP+3.0%,1
2026-07-26 08:23:15,LWP,4.5360,4.3960,-3.09,SL-3.0%,1
2026-07-26 08:26:20,LWP,4.3960,4.7200,+7.37,TP+3.0%,3
2026-07-26 08:27:22,LWP,4.7200,4.8880,+3.56,TP+3.0%,1
2026-07-26 08:32:29,LWP,4.8200,4.6150,-4.25,SL-3.0%,3
2026-07-26 08:36:35,LWP,4.6220,4.3760,-5.32,SL-3.0%,3
2026-07-27 00:23:31,XYO,4.5240,4.7080,+4.07,TP+3.0%,2
2026-07-27 00:25:35,XYO,4.7080,4.3560,-7.48,SL-3.0%,2
2026-07-27 00:33:50,XYO,4.3600,4.2240,-3.12,SL-3.0%,4
2026-07-27 02:37:31,XYO,4.2990,4.3510,+1.21,타임아웃120분,121
2026-07-27 09:57:32,USDE,1456.0000,1457.0000,+0.07,타임아웃120분,120
2026-07-28 05:07:45,COTI,13.4800,13.9000,+3.12,TP+3.0%,14
2026-07-28 05:10:50,COTI,13.9000,13.3000,-4.32,SL-3.0%,3
2026-07-28 05:37:38,COTI,13.3000,13.7000,+3.01,TP+3.0%,27
2026-07-28 05:45:54,COTI,14.9000,16.5700,+11.21,TP+3.0%,5
2026-07-28 05:47:58,COTI,16.5700,17.1500,+3.50,TP+3.0%,2
2026-07-28 05:50:01,COTI,17.4300,18.9500,+8.72,TP+3.0%,1
2026-07-28 05:52:05,COTI,18.9500,17.8000,-6.07,SL-3.0%,2
2026-07-28 05:56:14,COTI,18.4800,19.3000,+4.44,TP+3.0%,3
2026-07-28 06:00:21,COTI,19.4500,20.9200,+7.56,TP+3.0%,2
2026-07-28 06:02:24,COTI,20.9200,19.8300,-5.21,SL-3.0%,2
2026-07-28 06:08:35,COTI,19.8300,19.0200,-4.08,SL-3.0%,6
2026-07-28 06:12:43,COTI,18.3500,17.5800,-4.20,SL-3.0%,2
2026-07-28 06:19:56,COTI,18.1100,17.4000,-3.92,SL-3.0%,6
2026-07-28 06:23:02,COTI,17.4000,16.5600,-4.83,SL-3.0%,3
2026-07-28 06:28:11,COTI,16.5000,17.2200,+4.36,TP+3.0%,4
2026-07-28 06:30:15,REZ,4.5560,4.4000,-3.42,SL-3.0%,4
2026-07-28 06:32:18,COTI,17.4300,18.0400,+3.50,TP+3.0%,2
2026-07-28 06:35:24,COTI,18.0400,18.7200,+3.77,TP+3.0%,3
2026-07-28 06:43:39,COTI,17.8900,18.4600,+3.19,TP+3.0%,5
2026-07-28 06:50:51,COTI,19.0500,18.3000,-3.94,SL-3.0%,5
2026-07-28 07:11:29,REZ,4.0560,3.9300,-3.11,SL-3.0%,30
2026-07-28 16:41:23,UMA,570.0000,542.0000,-4.91,SL-3.0%,2
2026-07-28 17:10:15,UMA,543.0000,526.0000,-3.13,SL-3.0%,20
2026-07-29 22:18:44,CRTS,0.1064,0.1030,-3.20,SL-3.0%,4
2026-07-31 14:30:37,CFX,69.4700,71.9400,+3.56,TP+3.0%,3
2026-07-31 14:32:41,CFX,73.5200,70.8700,-3.60,SL-3.0%,1
2026-07-31 15:03:35,CFX,67.1600,64.9700,-3.26,SL-3.0%,23
2026-07-31 15:37:36,CFX,65.3400,63.0000,-3.58,SL-3.0%,33
2026-08-03 07:14:01,META,12.7500,13.2000,+3.53,TP+3.0%,2
2026-08-03 07:17:08,META,13.2000,12.6900,-3.86,SL-3.0%,3
2026-08-03 07:18:10,META,12.6900,11.8200,-6.86,SL-3.0%,1
2026-08-03 07:26:28,META,13.3100,12.8900,-3.16,SL-3.0%,3
2026-08-03 07:28:33,META,12.8900,13.5900,+5.43,TP+3.0%,2
2026-08-03 07:31:39,META,13.5900,14.1900,+4.42,TP+3.0%,3
2026-08-03 07:34:49,META,14.1900,13.3000,-6.27,SL-3.0%,3
2026-08-03 07:38:58,META,13.3000,14.3000,+7.52,TP+3.0%,4
2026-08-03 07:43:07,META,14.3000,13.8500,-3.15,SL-3.0%,4
2026-08-03 07:44:09,META,13.8500,13.1700,-4.91,SL-3.0%,1
2026-08-03 07:48:16,META,13.0500,11.0000,-15.71,SL-3.0%,2
2026-08-03 07:57:37,META,11.1800,10.6800,-4.47,SL-3.0%,2
2026-08-03 08:02:48,META,10.9900,10.6100,-3.46,SL-3.0%,2
2026-08-03 08:10:04,META,10.5500,10.9500,+3.79,TP+3.0%,3
2026-08-03 08:16:18,META,10.9500,10.6200,-3.01,SL-3.0%,6
2026-08-03 08:31:48,META,10.7600,10.3600,-3.72,SL-3.0%,13
2026-08-03 12:37:38,ACX,47.3100,51.0000,+7.80,TP+3.0%,4
2026-08-03 12:42:47,ACX,51.0000,48.3600,-5.18,SL-3.0%,5
2026-08-03 12:45:53,ACX,48.3600,50.2100,+3.83,TP+3.0%,2
2026-08-03 12:51:03,ACX,49.2100,51.0600,+3.76,TP+3.0%,2
2026-08-03 12:53:07,ACX,51.0600,48.8800,-4.27,SL-3.0%,2
2026-08-03 13:02:23,ACX,49.6900,51.1900,+3.02,TP+3.0%,1
2026-08-03 13:08:35,ACX,58.0000,53.7200,-7.38,SL-3.0%,5
2026-08-03 13:12:40,ACX,59.3200,57.1900,-3.59,SL-3.0%,2
2026-08-03 13:21:58,ACX,55.6800,53.5100,-3.90,SL-3.0%,5
2026-08-03 13:28:10,ACX,54.0600,52.2400,-3.37,SL-3.0%,4
2026-08-03 13:35:23,ACX,52.0400,50.3800,-3.19,SL-3.0%,6
2026-08-03 13:52:55,WAXP,6.9930,6.7620,-3.30,SL-3.0%,1
2026-08-03 14:24:54,WAXP,6.4260,6.1850,-3.75,SL-3.0%,27
2026-08-03 14:55:53,ORBS,8.4030,7.8220,-6.91,SL-3.0%,19
2026-08-03 16:56:35,ORBS,7.8220,7.8520,+0.38,타임아웃120분,121
2026-08-04 18:39:21,CYS,545.0000,584.0000,+7.16,TP+3.0%,1
2026-08-04 18:40:23,CYS,584.0000,630.0000,+7.88,TP+3.0%,1
2026-08-04 18:45:33,CYS,643.0000,666.0000,+3.58,TP+3.0%,1
2026-08-04 18:47:34,CYS,666.0000,704.0000,+5.71,TP+3.0%,2
