entry_date,exit_date,symbol,coin,entry_price,exit_price,mom_pct_at_entry,notional_usdt,pnl_pct,pnl_usdt,reason,hold_days,mfe_pct,mae_pct
2025-05-15,2025-05-27,KAITOUSDT,KAITO,2617.0,3017.0,92.14,30.0,15.2847,4.5854,랭크아웃(Top3이탈),12,15.28,-5.5
2025-05-27,2025-05-28,VIRTUALUSDT,VIRTUAL,3308.0,3250.0,72.38,30.0,-1.7533,-0.526,랭크아웃(Top3이탈),1,0.0,-1.75
2025-05-26,2025-05-30,EIGENUSDT,EIGEN,2006.0,2084.0,79.11,30.0,3.8883,1.1665,랭크아웃(Top3이탈),4,16.1,-0.0
2025-05-14,2025-05-31,ETHFIUSDT,ETHFI,1850.0,1619.0,111.91,30.0,-12.4865,-3.7459,랭크아웃(Top3이탈),17,7.08,-12.49
2025-05-28,2025-05-31,KAITOUSDT,KAITO,3062.0,2764.0,62.7,30.0,-9.7322,-2.9197,랭크아웃(Top3이탈),3,3.69,-9.73
2025-05-30,2025-05-31,LPTUSDT,LPT,18320.0,12950.0,132.19,30.0,-29.3122,-8.7937,스탑-20%,1,0.0,-29.31
2025-05-31,2025-06-01,COOKIEUSDT,COOKIE,326.0,317.0,26.85,30.0,-2.7607,-0.8282,랭크아웃(Top3이탈),1,0.0,-2.76
2025-05-31,2025-06-02,LWPUSDT,LWP,28.48,24.52,44.35,30.0,-13.9045,-4.1713,랭크아웃(Top3이탈),2,0.0,-13.9
2025-06-02,2025-06-05,COOKIEUSDT,COOKIE,338.0,307.0,36.29,30.0,-9.1716,-2.7515,랭크아웃(Top3이탈),3,0.0,-9.17
2025-05-31,2025-06-07,LPTUSDT,LPT,12950.0,10360.0,56.31,30.0,-20.0,-6.0,스탑-20%,7,0.0,-20.0
2025-06-01,2025-06-07,ANIMEUSDT,ANIME,35.99,39.38,25.58,30.0,9.4193,2.8258,트레일(최고37%->9%),6,36.93,-0.0
2025-06-07,2025-06-09,LPTUSDT,LPT,10360.0,10410.0,27.35,30.0,0.4826,0.1448,랭크아웃(Top3이탈),2,7.43,-0.0
2025-06-07,2025-06-10,COOKIEUSDT,COOKIE,297.0,357.0,28.02,30.0,20.202,6.0606,랭크아웃(Top3이탈),3,20.2,-0.0
2025-06-09,2025-06-11,ANIMEUSDT,ANIME,48.7,41.05,41.94,30.0,-15.7084,-4.7125,랭크아웃(Top3이탈),2,9.67,-15.71
2025-06-05,2025-06-12,LWPUSDT,LWP,29.33,29.68,37.18,30.0,1.1933,0.358,랭크아웃(Top3이탈),7,10.74,-0.03
